AirConditioning,Sex,Age
little_important,women,18_23
little_important,women,18_23
little_important,women,18_23
little_important,women,18_23
little_important,women,18_23
little_important,women,18_23
little_important,women,18_23
little_important,women,18_23
little_important,women,18_23
little_important,women,18_23
little_important,women,18_23
little_important,women,18_23
little_important,women,18_23
little_important,women,18_23
little_important,women,18_23
little_important,women,18_23
little_important,women,18_23
little_important,women,18_23
little_important,women,18_23
little_important,women,18_23
little_important,women,18_23
little_important,women,18_23
little_important,women,18_23
little_important,women,18_23
little_important,women,18_23
little_important,women,18_23
important,women,18_23
important,women,18_23
important,women,18_23
important,women,18_23
important,women,18_23
important,women,18_23
important,women,18_23
important,women,18_23
important,women,18_23
important,women,18_23
important,women,18_23
important,women,18_23
very_important,women,18_23
very_important,women,18_23
very_important,women,18_23
very_important,women,18_23
very_important,women,18_23
very_important,women,18_23
very_important,women,18_23
little_important,women,24_40
little_important,women,24_40
little_important,women,24_40
little_important,women,24_40
little_important,women,24_40
little_important,women,24_40
little_important,women,24_40
little_important,women,24_40
little_important,women,24_40
important,women,24_40
important,women,24_40
important,women,24_40
important,women,24_40
important,women,24_40
important,women,24_40
important,women,24_40
important,women,24_40
important,women,24_40
important,women,24_40
important,women,24_40
important,women,24_40
important,women,24_40
important,women,24_40
important,women,24_40
important,women,24_40
important,women,24_40
important,women,24_40
important,women,24_40
important,women,24_40
important,women,24_40
very_important,women,24_40
very_important,women,24_40
very_important,women,24_40
very_important,women,24_40
very_important,women,24_40
very_important,women,24_40
very_important,women,24_40
very_important,women,24_40
very_important,women,24_40
very_important,women,24_40
very_important,women,24_40
very_important,women,24_40
very_important,women,24_40
very_important,women,24_40
very_important,women,24_40
little_important,women,>40
little_important,women,>40
little_important,women,>40
little_important,women,>40
little_important,women,>40
important,women,>40
important,women,>40
important,women,>40
important,women,>40
important,women,>40
important,women,>40
important,women,>40
important,women,>40
important,women,>40
important,women,>40
important,women,>40
important,women,>40
important,women,>40
important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
very_important,women,>40
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
little_important,men,18_23
important,men,18_23
important,men,18_23
important,men,18_23
important,men,18_23
important,men,18_23
important,men,18_23
important,men,18_23
important,men,18_23
important,men,18_23
important,men,18_23
important,men,18_23
important,men,18_23
important,men,18_23
important,men,18_23
important,men,18_23
important,men,18_23
important,men,18_23
very_important,men,18_23
very_important,men,18_23
very_important,men,18_23
very_important,men,18_23
very_important,men,18_23
very_important,men,18_23
very_important,men,18_23
very_important,men,18_23
little_important,men,24_40
little_important,men,24_40
little_important,men,24_40
little_important,men,24_40
little_important,men,24_40
little_important,men,24_40
little_important,men,24_40
little_important,men,24_40
little_important,men,24_40
little_important,men,24_40
little_important,men,24_40
little_important,men,24_40
little_important,men,24_40
little_important,men,24_40
little_important,men,24_40
little_important,men,24_40
little_important,men,24_40
important,men,24_40
important,men,24_40
important,men,24_40
important,men,24_40
important,men,24_40
important,men,24_40
important,men,24_40
important,men,24_40
important,men,24_40
important,men,24_40
important,men,24_40
important,men,24_40
important,men,24_40
important,men,24_40
important,men,24_40
very_important,men,24_40
very_important,men,24_40
very_important,men,24_40
very_important,men,24_40
very_important,men,24_40
very_important,men,24_40
very_important,men,24_40
very_important,men,24_40
very_important,men,24_40
very_important,men,24_40
very_important,men,24_40
very_important,men,24_40
little_important,men,>40
little_important,men,>40
little_important,men,>40
little_important,men,>40
little_important,men,>40
little_important,men,>40
little_important,men,>40
little_important,men,>40
important,men,>40
important,men,>40
important,men,>40
important,men,>40
important,men,>40
important,men,>40
important,men,>40
important,men,>40
important,men,>40
important,men,>40
important,men,>40
important,men,>40
important,men,>40
important,men,>40
important,men,>40
very_important,men,>40
very_important,men,>40
very_important,men,>40
very_important,men,>40
very_important,men,>40
very_important,men,>40
very_important,men,>40
very_important,men,>40
very_important,men,>40
very_important,men,>40
very_important,men,>40
very_important,men,>40
very_important,men,>40
very_important,men,>40
very_important,men,>40
very_important,men,>40
very_important,men,>40
very_important,men,>40
